,0
301,89506066506300.0
302,89506194411200.0
303,89506338728600.0
304,89506466734800.0
305,89506595267100.0
306,89506738344900.0
307,89506866435600.0
308,89506994223300.0
309,89507139133400.0
310,89507266277000.0
311,89507394853300.0
312,89507538218500.0
313,89507666544600.0
314,89507794414000.0
315,89507938197600.0
316,89508002638900.0
317,89508066146900.0
318,89508130325500.0
319,89508195064300.0
320,89508258441800.0
321,89508338786200.0
322,89508402725400.0
323,89508467139700.0
324,89508530165200.0
325,89508594204200.0
326,89508658445700.0
327,89508738358000.0
328,89508802322200.0
329,89508866506100.0
330,89508930884000.0
331,89508994278200.0
332,89509058701100.0
333,89509138441100.0
334,89509202293000.0
335,89509266406900.0
336,89509330367700.0
337,89509394442600.0
338,89509458298600.0
339,89509538446300.0
340,89509602648000.0
341,89509666359500.0
342,89509730346400.0
343,89509795257900.0
344,89509858434100.0
345,89509938576500.0
346,89510002413600.0
347,89510066896800.0
348,89510130462100.0
349,89510194895300.0
350,89510258390700.0
351,89510339209000.0
352,89510402568900.0
353,89510466668900.0
354,89510530895200.0
355,89510594695200.0
356,89510658544000.0
357,89510738524900.0
358,89510803287700.0
359,89510866689500.0
360,89510930682600.0
361,89510994417200.0
362,89511058544500.0
363,89511138813500.0
364,89511202504000.0
365,89511266769900.0
366,89511330430800.0
367,89511394626900.0
368,89511458684900.0
369,89511522588700.0
370,89511602406200.0
371,89511666497900.0
372,89511730525300.0
373,89511795034100.0
374,89511858974500.0
375,89511923196000.0
376,89512002430500.0
377,89512066308700.0
378,89512130456200.0
379,89512194369800.0
380,89512259756600.0
381,89512322547900.0
382,89512402424100.0
383,89512530510600.0
384,89512658636300.0
385,89512802520900.0
386,89512930361200.0
387,89513058864200.0
388,89513202229700.0
389,89513330528700.0
390,89513458333600.0
391,89513602574600.0
392,89513730221100.0
393,89513859418900.0
394,89514002713200.0
395,89514130370600.0
396,89514259085600.0
397,89514403294400.0
398,89514530428000.0
399,89514658447800.0
400,89514803362200.0
401,89514930234500.0
402,89515058503900.0
403,89515202220900.0
404,89515330309400.0
405,89515458939500.0
406,89515602443900.0
407,89515731427800.0
408,89515858366300.0
409,89516002253000.0
410,89516130875000.0
411,89516259015700.0
412,89516402893700.0
413,89516530614100.0
414,89516658188600.0
415,89516722306700.0
416,89516802809800.0
417,89516866885700.0
418,89516930290000.0
419,89516994213000.0
420,89517058375900.0
421,89517122260900.0
422,89517202695400.0
423,89517266351200.0
424,89517330162800.0
425,89517394231700.0
426,89517458361300.0
427,89517522432100.0
428,89517602293200.0
429,89517666778000.0
430,89517730392100.0
431,89517794342200.0
432,89517858280900.0
433,89517923038900.0
434,89518002354900.0
435,89518130236100.0
436,89518258589300.0
437,89518402265200.0
438,89518530795800.0
439,89518659273400.0
440,89518802774900.0
441,89518930584400.0
442,89519058892000.0
443,89519202229000.0
444,89519330631400.0
445,89519458148700.0
446,89519602408400.0
447,89519730516100.0
448,89519858460100.0
449,89520002160300.0
450,89520130940200.0
451,89520258176300.0
452,89520402443700.0
453,89520466536000.0
454,89520530425400.0
455,89520594973200.0
456,89520659168300.0
457,89520723067000.0
458,89520802527500.0
459,89520867301600.0
460,89520931286600.0
461,89520994393400.0
462,89521058494500.0
463,89521123047800.0
464,89521202945600.0
465,89521266702300.0
466,89521330592700.0
467,89521394425100.0
468,89521458344000.0
469,89521522590200.0
470,89521602991100.0
471,89521667194400.0
472,89521731218200.0
473,89521858519100.0
474,89522002692300.0
475,89522130436200.0
476,89522258319300.0
477,89522402666000.0
478,89522530827000.0
479,89522659580400.0
480,89522802443700.0
481,89522931165600.0
482,89523058594900.0
483,89523202852200.0
484,89523330996400.0
485,89523459137800.0
486,89523602284000.0
487,89523730695500.0
488,89523858354300.0
489,89524002650200.0
490,89524130632600.0
491,89524258449900.0
492,89524402323800.0
493,89524530704800.0
494,89524658380600.0
495,89524802724100.0
496,89524930307500.0
497,89525058944100.0
498,89525202476400.0
499,89525330625200.0
500,89525458481300.0
501,89525602632700.0
502,89525730452100.0
503,89525859685200.0
504,89525922346100.0
505,89526002323200.0
506,89526066439300.0
507,89526130338600.0
508,89526194445000.0
509,89526258361700.0
510,89526322558700.0
511,89526386493500.0
512,89526466447500.0
513,89526530382100.0
514,89526594548800.0
515,89526658472600.0
516,89526722728900.0
517,89526786458900.0
518,89526866990000.0
519,89526930707400.0
520,89526994881900.0
521,89527058622500.0
522,89527122328900.0
523,89527186509400.0
524,89527266593200.0
525,89527330790700.0
526,89527395412000.0
527,89527459024300.0
528,89527522570400.0
529,89527586393700.0
530,89527666369400.0
531,89527730604800.0
532,89527794748000.0
533,89527858430600.0
534,89527922680500.0
535,89527987532400.0
536,89528066435100.0
537,89528130345600.0
538,89528195469000.0
539,89528258561400.0
540,89528322384800.0
541,89528387624800.0
542,89528467114900.0
543,89528530497900.0
544,89528594474900.0
545,89528658567000.0
546,89528723345600.0
547,89528786502600.0
548,89528866368100.0
549,89528930765900.0
550,89528994282300.0
551,89529058400800.0
552,89529122520900.0
